audio_path,reference,prediction,sample_wer,sample_cer,audio_cluster,text_cluster_stopwords,duration_seconds,dominant_error,num_substitutions,num_deletions,num_insertions
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26262000.mp3,elicopterul nu fusese anunțat,ericopterul nu puse să se anunță,1.25,0.27586206896551724,1,2,2.888,substitution,3,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26267329.mp3,căutăm noi actori pentru a extinde baza,cotăm un actor pentru o acestini de bază,1.0,0.3333333333333333,1,2,3.067,substitution,6,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929987.mp3,aceste chestiuni țin de competența noastră,ar acestei chestiuni din lecompetența moastră,1.0,0.19047619047619047,1,2,3.222,substitution,6,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26267025.mp3,planeta ne transmite un semnal de alarmă,planeta a intratzmuit în semnul alarma,0.8571428571428571,0.35,1,2,3.463,substitution,5,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25887191.mp3,dubarbier cluj expediază primul șut pe poartă,dui barbieri cluji expediază primul șud pe poarta ea,0.8571428571428571,0.2,2,2,5.803,substitution,4,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30685644.mp3,iti promit ca vei primi dreptate,eți promit că vă-i primit dreptată,0.8333333333333334,0.21875,1,2,3.896,substitution,5,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_31031741.mp3,iti poruncesc sa bei niste apa,iti porunce să bein niște apă,0.8333333333333334,0.2,1,2,3.535,substitution,5,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24091466.mp3,tricolorii vor întâlni sâmbătă reprezentativa ungariei,tricolorii volântâni să îmbătă reprezentativă a ungariei,0.8333333333333334,0.16666666666666666,2,2,5.228,substitution,4,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24091454.mp3,legislația actuală în vigoare permite derogări,regislația actuală învigua re permite de rogări,0.8333333333333334,0.10869565217391304,2,2,4.795,substitution,4,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26268525.mp3,nu așa îmi imaginez eu politica de azil,nașa mi-a mai jnezut o politica de azi,0.75,0.358974358974359,1,2,4.688,substitution,6,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_20718587.mp3,riscul unui decalaj mare este destul de real,riscul nu este ca la jumăre s destul de real,0.75,0.29545454545454547,0,2,4.23,substitution,4,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929992.mp3,nu numai instituția și tratatul sunt importante,nu număr instituței ștoată târste importante,0.7142857142857143,0.3191489361702128,0,2,4.47,substitution,4,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_20349612.mp3,de ce avem nevoie de promovări costisitoare,de ce am nevoie de promovori că sunt situare,0.7142857142857143,0.20930232558139536,1,2,2.862,substitution,3,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21823594.mp3,mecanismele sofisticate nu creează valoare și bogăție,mecanismele s-au festicat de nu crează valoare și văgăție,0.7142857142857143,0.18867924528301888,2,2,5.19,substitution,3,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_31364281.mp3,sprijinirea celor bogați în detrimentul celor săraci,spriginirea celor bugat îndetrimentul celor sărați,0.7142857142857143,0.11538461538461539,2,2,4.976,substitution,4,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26285699.mp3,profesoara de engleză a dat două sute cincizeci de lei,profesora de embrez a dat 250 delei,0.7,0.46296296296296297,1,2,4.436,substitution,4,3,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24534199.mp3,a mers acolo vineri ne-a spus directorul grădinii vasile cristea,a merg să acolo vine în aspectul directorul glădinii vasile cristă,0.7,0.25,1,2,6.596,substitution,6,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929986.mp3,această abordare este malițioasă și contraproductivă,această bordării este maritării să-și contraproducivă,0.6666666666666666,0.23076923076923078,0,4,4.422,substitution,4,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25257722.mp3,cum putem eticheta astfel de produse,cum puțe meci chetă astfel de produție,0.6666666666666666,0.2222222222222222,0,2,3.643,substitution,3,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25383838.mp3,nu pentru îndrumătoarea de an ci pentru prietena lui,nu pentru un drumătoare de ani și pentru prieten alui,0.6666666666666666,0.1346153846153846,0,2,4.723,substitution,5,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24091456.mp3,curtea lăcașului sfânt a devenit neîncăpătoare,curte alăcașului sfânt a devenit de încăpătoare,0.6666666666666666,0.08695652173913043,0,2,4.688,substitution,3,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26267297.mp3,iubirea ar putea face din mine totul chiar și un geniu,dubirea putea face zemine totul chiar se ungeniu,0.6363636363636364,0.2037037037037037,1,0,3.967,substitution,4,3,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26285796.mp3,locurile de muncă reprezintă o altă provocare majoră,ul locul rădemun care prezintă o altă provocare majoră,0.625,0.25,0,2,3.643,substitution,4,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_36949803.mp3,provin dintr-o țară cu un climat foarte umed,proven din trățară cu climat foarte umeză,0.625,0.22727272727272727,1,2,4.795,substitution,4,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26261360.mp3,creșterea nu poate fi realizată numai prin economii,greșterea nu poate fi realizată în mai primei comuni,0.625,0.19607843137254902,0,2,3.463,substitution,4,0,1
