audio_path,reference,prediction,source,duration_seconds,speaker_id,audio_cluster,split,cluster_metadata,text_cluster,duration_seconds_metadata,speaker_id_metadata,split_metadata,transcript,sample_wer,sample_cer,reference_word_count,prediction_word_count,reference_char_count,prediction_char_count,duration_bucket,dominant_error,num_substitutions,num_deletions,num_insertions,num_word_edits
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30534136.mp3,iti mai amintesti,iti mai amintești,common_voice,3.103,cv_0a0a2875353fa279bc492e2b3ef22a517a8e8973f39ffd2ab117c992bb66ad57c0a251e229932d833740d6d7cd7c4e975123cf5f443b0a972c54c3e509dd9986,0,test,0,3,3.103,cv_0a0a2875353fa279bc492e2b3ef22a517a8e8973f39ffd2ab117c992bb66ad57c0a251e229932d833740d6d7cd7c4e975123cf5f443b0a972c54c3e509dd9986,test,iti mai amintesti,0.3333333333333333,0.058823529411764705,3,3,17,17,medium_3_6s,substitution,1,0,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30768893.mp3,acum din cauza acestei directive au pierdut totul,acum din cauza acesta este directivă au pierdut totul,common_voice,4.976,cv_476aa4af4a87a7bd6ec3d6e6664f6d0357deed84fb4730ac682b46278c740faa5be8f036ef5080e928f66ffb7fa2032a0c044f74e95c7d068f2b67696cd8d914,2,test,2,3,4.976,cv_476aa4af4a87a7bd6ec3d6e6664f6d0357deed84fb4730ac682b46278c740faa5be8f036ef5080e928f66ffb7fa2032a0c044f74e95c7d068f2b67696cd8d914,test,acum din cauza acestei directive au pierdut totul,0.375,0.12244897959183673,8,9,49,53,medium_3_6s,substitution,2,0,1,3
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_38508731.mp3,este extrem de important să avem obiective ambițioase,este extrem de important să avem obiective ambițioase,common_voice,4.436,cv_67f5590e927d9518388be41b57ba665b8cc93d6ddfbd9f7818be98f6d17afb13d873f098b5a627f63e55e0236cc9b145c5b086424dd4aff7251a809f3ed5aa10,1,test,1,0,4.436,cv_67f5590e927d9518388be41b57ba665b8cc93d6ddfbd9f7818be98f6d17afb13d873f098b5a627f63e55e0236cc9b145c5b086424dd4aff7251a809f3ed5aa10,test,este extrem de important să avem obiective ambițioase,0.0,0.0,8,8,53,53,medium_3_6s,none,0,0,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_27113881.mp3,a ști carte nu înseamnă a ști înțelepciune,aștii carte nu înseamnă aștii înțelepciune,common_voice,4.884,cv_711dc96cffd0318399d9d4bc0e425ccdfd2f873d2e3f9ffe21d3979103f7367103f3ce1dd185a4c70c82135afd9881eded64f648a549e8b6dac4d819c4fe8086,0,test,0,3,4.884,cv_711dc96cffd0318399d9d4bc0e425ccdfd2f873d2e3f9ffe21d3979103f7367103f3ce1dd185a4c70c82135afd9881eded64f648a549e8b6dac4d819c4fe8086,test,a ști carte nu înseamnă a ști înțelepciune,0.5,0.09523809523809523,8,6,42,42,medium_3_6s,substitution,2,2,0,4
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_36949803.mp3,provin dintr-o țară cu un climat foarte umed,proven din trățară cu climat foarte umeză,common_voice,4.795,cv_743097ae75f63e4ccaf014f324a8d5bbea2fcbe865685f7fd68bcb96c9025662317ba42dbae5cb04713ed1a6b0b0786accdbcefe24dad707a57cb381f5017bcf,1,test,1,3,4.795,cv_743097ae75f63e4ccaf014f324a8d5bbea2fcbe865685f7fd68bcb96c9025662317ba42dbae5cb04713ed1a6b0b0786accdbcefe24dad707a57cb381f5017bcf,test,provin dintr-o țară cu un climat foarte umed,0.625,0.22727272727272727,8,7,44,41,medium_3_6s,substitution,4,1,0,5
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_39291657.mp3,cererea de cărbune și prețul cărbunelui cresc,cererea de cărpune și prețul cărpune lui cresc,common_voice,3.967,cv_75f2da2f5b7e61611b245e99941e3038653200410a5591cb6fb483bed97e874d203237f1fcd7ba449cd9c4f2391aca63b16313e6372c217faba56b997017eaef,0,test,0,1,3.967,cv_75f2da2f5b7e61611b245e99941e3038653200410a5591cb6fb483bed97e874d203237f1fcd7ba449cd9c4f2391aca63b16313e6372c217faba56b997017eaef,test,cererea de cărbune și prețul cărbunelui cresc,0.42857142857142855,0.06666666666666667,7,8,45,46,medium_3_6s,substitution,2,0,1,3
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_31213444.mp3,putem face mai mult și mai bine,putem face mai mult și mai bine,common_voice,3.824,cv_76a205a373140fff0cc2014d10c74427041f50ab80b89288c293c5177a4199e25560b36ff60a13876ddbacbf987f89491b50c4150279c8a9ceb31d4ca7d8bcdd,0,test,0,3,3.824,cv_76a205a373140fff0cc2014d10c74427041f50ab80b89288c293c5177a4199e25560b36ff60a13876ddbacbf987f89491b50c4150279c8a9ceb31d4ca7d8bcdd,test,putem face mai mult și mai bine,0.0,0.0,7,7,31,31,medium_3_6s,none,0,0,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_31953628.mp3,acest lucru ar fi cu adevărat surprinzător,acest lucru ar fi cu adevărat surprinzător,common_voice,5.784,cv_988581a5cce1a14ddf4f07e784697a774e60094d1a2277bc202596d8b42c41b83877405efb48613cd64de2267f79c47084768650c1734614e5e705262b8b070c,2,test,2,4,5.784,cv_988581a5cce1a14ddf4f07e784697a774e60094d1a2277bc202596d8b42c41b83877405efb48613cd64de2267f79c47084768650c1734614e5e705262b8b070c,test,acest lucru ar fi cu adevărat surprinzător,0.0,0.0,7,7,42,42,medium_3_6s,none,0,0,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_39884823.mp3,aș dori să menționez câteva dintre acestea,aș dori să menționez câteva dintre acestea,common_voice,3.607,cv_d9a9f88000ac540eef0982e97361d4774f4eb9331d9c0e89bd38f22bcc5a6e875039ac2bdb926924c9ada147cdc34434939106fa7515191f1a1fc72feb8e2b6c,1,test,1,3,3.607,cv_d9a9f88000ac540eef0982e97361d4774f4eb9331d9c0e89bd38f22bcc5a6e875039ac2bdb926924c9ada147cdc34434939106fa7515191f1a1fc72feb8e2b6c,test,aș dori să menționez câteva dintre acestea,0.0,0.0,7,7,42,42,medium_3_6s,none,0,0,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_28844342.mp3,cred că acest lucru este extrem de important,cred că acest lucru este extrem de important,common_voice,5.64,cv_e1c6a6d78c1c4ff6b3675a5c73eca19d6b0a9b4c6d4b27e92fd8cd56412fdd0ffdb5a628e476cea3e52e42fa11a2c3c4e29c5610e4091024fcd1856a1c48a1bb,1,test,1,4,5.64,cv_e1c6a6d78c1c4ff6b3675a5c73eca19d6b0a9b4c6d4b27e92fd8cd56412fdd0ffdb5a628e476cea3e52e42fa11a2c3c4e29c5610e4091024fcd1856a1c48a1bb,test,cred că acest lucru este extrem de important,0.0,0.0,8,8,44,44,medium_3_6s,none,0,0,0,0
