audio_path,reference,prediction,sample_wer,sample_cer,audio_cluster,sentence_cluster,actual_duration_seconds,words_per_second,rms_mean_db,silence_ratio,snr_proxy_db,spectral_centroid_mean,zero_crossing_rate_mean,dominant_error,num_substitutions,num_deletions,num_insertions
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26262000.mp3,elicopterul nu fusese anunțat,ericopterul nu puse să se anunță,1.25,0.27586206896551724,1,0,2.88,1.3888888888888888,-22.814052358470704,0.3701657458563536,59.268848443018825,1942.6287435673983,0.2058928263121547,substitution,3,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26267329.mp3,căutăm noi actori pentru a extinde baza,cotăm un actor pentru o acestini de bază,1.0,0.3333333333333333,1,1,3.06,2.287581699346405,-23.77136836008937,0.3385416666666667,68.45439286041993,1250.4257912878008,0.10042317708333333,substitution,6,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929987.mp3,aceste chestiuni țin de competența noastră,ar acestei chestiuni din lecompetența moastră,1.0,0.19047619047619047,1,1,3.216,1.8656716417910446,-35.94214535818062,0.22277227722772278,170.75922320904135,1607.2859675555958,0.1394598932549505,substitution,6,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26267025.mp3,planeta ne transmite un semnal de alarmă,planeta a intratzmuit în semnul alarma,0.8571428571428571,0.35,1,1,3.456,2.025462962962963,-26.49604497520679,0.48847926267281105,66.1512220833129,1258.741453604317,0.08945672523041474,substitution,5,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25887191.mp3,dubarbier cluj expediază primul șut pe poartă,dui barbieri cluji expediază primul șud pe poarta ea,0.8571428571428571,0.2,2,0,5.796,1.2077294685990339,-25.43087301545597,0.44352617079889806,66.46063293776376,1575.3182702845083,0.12649578168044076,substitution,4,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30685644.mp3,iti promit ca vei primi dreptate,eți promit că vă-i primit dreptată,0.8333333333333334,0.21875,1,1,3.888,1.5432098765432098,-42.526637275921715,0.36885245901639346,39.63077885846003,1701.7492971044596,0.11809202100409837,substitution,5,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_31031741.mp3,iti poruncesc sa bei niste apa,iti porunce să bein niște apă,0.8333333333333334,0.2,1,1,3.528,1.7006802721088434,-39.43787639296633,0.4660633484162896,43.19270086285413,2629.4354120282655,0.27341982466063347,substitution,5,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24091466.mp3,tricolorii vor întâlni sâmbătă reprezentativa ungariei,tricolorii volântâni să îmbătă reprezentativă a ungariei,0.8333333333333334,0.16666666666666666,2,1,5.22,1.149425287356322,-24.058570683764753,0.3211009174311927,65.98422475597518,1906.9515270573168,0.15106854453363913,substitution,4,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24091454.mp3,legislația actuală în vigoare permite derogări,regislația actuală învigua re permite de rogări,0.8333333333333334,0.10869565217391304,2,1,4.788,1.2531328320802004,-26.2205210768683,0.44333333333333336,70.2481024421433,2033.4502307613302,0.17309895833333333,substitution,4,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26268525.mp3,nu așa îmi imaginez eu politica de azil,nașa mi-a mai jnezut o politica de azi,0.75,0.358974358974359,1,0,4.68,1.7094017094017095,-26.150419640500875,0.5836177474402731,72.72952443567739,1557.745044906228,0.1142278156996587,substitution,6,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_20718587.mp3,riscul unui decalaj mare este destul de real,riscul nu este ca la jumăre s destul de real,0.75,0.29545454545454547,0,1,4.224,1.8939393939393938,-35.18551394576163,0.42641509433962266,173.62039478422622,1147.8897498238614,0.09283977004716981,substitution,4,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929992.mp3,nu numai instituția și tratatul sunt importante,nu număr instituței ștoată târste importante,0.7142857142857143,0.3191489361702128,0,1,4.464,1.568100358422939,-36.23347647706379,0.4857142857142857,175.25154918660277,1150.7292062678919,0.08887765066964286,substitution,4,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_20349612.mp3,de ce avem nevoie de promovări costisitoare,de ce am nevoie de promovori că sunt situare,0.7142857142857143,0.20930232558139536,1,1,2.856,2.450980392156863,-30.77347955830774,0.2905027932960894,59.67440247750362,2240.746305666553,0.20804600209497207,substitution,3,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21823594.mp3,mecanismele sofisticate nu creează valoare și bogăție,mecanismele s-au festicat de nu crează valoare și văgăție,0.7142857142857143,0.18867924528301888,2,0,5.184,1.3503086419753085,-21.449263380716257,0.3723076923076923,71.94977955916103,2041.9581085972209,0.18109375,substitution,3,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_31364281.mp3,sprijinirea celor bogați în detrimentul celor săraci,spriginirea celor bugat îndetrimentul celor sărați,0.7142857142857143,0.11538461538461539,2,1,4.968,1.4090177133655395,-28.442290702636875,0.2379421221864952,64.6262755296433,2109.7568614610586,0.2043935892282958,substitution,4,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26285699.mp3,profesoara de engleză a dat două sute cincizeci de lei,profesora de embrez a dat 250 delei,0.7,0.46296296296296297,1,1,4.428,2.2583559168925023,-24.120082197468374,0.36462093862815886,68.34114678903839,1334.680890202482,0.10976280460288809,substitution,4,3,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24534199.mp3,a mers acolo vineri ne-a spus directorul grădinii vasile cristea,a merg să acolo vine în aspectul directorul glădinii vasile cristă,0.7,0.25,1,1,6.588,1.5179113539769278,-25.002897080347502,0.3762135922330097,52.57219560210045,1594.5341248981476,0.11725386832524272,substitution,6,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929986.mp3,această abordare este malițioasă și contraproductivă,această bordării este maritării să-și contraproducivă,0.6666666666666666,0.23076923076923078,0,0,4.416,1.3586956521739129,-34.15666987111064,0.3574007220216607,174.38860409429236,1572.853828052584,0.09777611687725632,substitution,4,0,0
